sourceFile,platform,sourceAuthor,sourceTrackId,sourceLicense,name,region,regionPriority,type,tags,startName,endName,pointCount,distanceKm,durationHours,ascentM,descentM,minEle,maxEle,startLat,startLng,endLat,endLng,bbox,isLoop,startEndGapM,gapOver300mCount,maxGapM,avgSpeedKmh,maxSegmentSpeedKmh,qualityScore,suggestedDifficulty,suggestedThemes,suggestedAudience,bestSeason,suggestedStatus,dedupeKey,duplicateGroup,duplicateHint,reviewNotes
import-tools/raw/11.2龙门-般若苑-涌泉寺-鼓山古道.kml,两步路,刘家有两千金,55470877,待确认,11.2 龙门-般若苑-涌泉寺-鼓山古道,晋安区,优先候选,古道徒步,徒步,快安派出所龙门村治安岗,鼓山旅游景区缆车,11061,8.96,3.27,564,558,-82.0,355.0,26.032505,119.404666,26.056291,119.372315,"26.032505,119.372315,26.058038,119.406278",否,4176,0,0,2.74,13.58,95,中等,古道|历史人文|寺庙,新手进阶|半日|摄影,全年|避开极端天气,候选待复核,26.033:119.405:26.056:119.372:9,,,海拔低值可能有噪声；起终点名称与坐标需人工复核。
import-tools/raw/138·福清福川古道-福建榕树王-台岭村-西溪水库-福川古道圈越.kml,两步路,wuli自在行走的花,23969380,待确认,2025-11-25 12:16福州福清市,福清市,优先候选,徒步路线,徒步,福州市福清市,福州市福清市,1360,14.9,5.06,646,652,104.0,397.8,25.781802,119.358629,25.781795,119.358671,"25.781704,119.340425,25.817253,119.360024",是,4,0,0,2.94,16.31,100,较难,观景|环线,进阶|摄影,全年|避开极端天气,候选待复核,25.782:119.359:25.782:119.359:15,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-09-26仁洲村三叠井徒步圈越.kml,KML,郑在爬,61903114,待确认,2025-09-26 仁洲村三叠井徒步圈越,福州周边,边界候选,徒步路线,徒步,仁洲村委(公交站),仁洲村委(公交站),1146,12.26,6.54,992,993,177.6,655.5,26.239468,119.164515,26.239862,119.164419,"26.234736,119.153516,26.272642,119.164515",是,45,0,0,1.87,50.39,80,较难,观景|环线,进阶|摄影,全年|避开极端天气,候选待复核,26.239:119.165:26.24:119.164:12,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-02状元岭小圈越，状元岭古道～状元坊～象峰古道！.kml,KML,仰望星空3539,61739907,待确认,2025-10-02 状元岭小圈越，状元岭古道～状元坊～象峰古道！,晋安区,优先候选,古道徒步,徒步,天母殿,闾山大法院,630,6.75,1.93,679,668,50.9,580.1,26.153645,119.328832,26.153598,119.328785,"26.153469,119.328785,26.171483,119.345218",是,7,0,0,3.5,15.36,100,中等,古道|历史人文|环线,进阶|摄影,全年|避开极端天气,候选待复核,26.154:119.329:26.154:119.329:7,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-1209_17莆田瑞云山.kml,两步路,海狼王,723494,待确认,2025-10-12 09:17莆田瑞云山,福州周边,跨区参考,徒步路线,徒步,瑞云山(公交站),瑞云山森林公园(入口),798,7.46,3.98,688,676,397.0,875.5,25.725012,119.023335,25.725778,119.022525,"25.724424,119.008141,25.739112,119.023335",是,118,0,0,1.88,32.6,70,中等,观景|环线,进阶|摄影,全年|避开极端天气,候选待复核,25.725:119.023:25.726:119.023:7,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-12芦际潭森林公园圈越.kml,两步路,山痴踏岳。,63019757,待确认,2025-10-12 芦际潭森林公园圈越,福州周边,边界候选,徒步路线,徒步,芦际潭森林公园停车点,福州市长乐区,1131,10.87,4.39,628,656,63.8,599.2,25.999269,119.516099,25.997473,119.513737,"25.994126,119.513737,26.021357,119.538771",否,309,0,0,2.48,37.25,80,中等,森林|避暑,进阶|摄影,春季|夏季|秋季,候选待复核,25.999:119.516:25.997:119.514:11,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-2211_45五虎山圈越.kml,两步路,冰鳍,44351043,待确认,2025-11-22 11:45五虎山圈越,闽侯县,优先候选,徒步路线,徒步,五虎山国家森林公园游客驿站,五虎山国家森林公园游客驿站,1225,13.78,5.65,989,993,26.0,585.8,25.921121,119.329779,25.921081,119.330343,"25.920882,119.306879,25.943473,119.330386",是,57,0,0,2.44,40.04,85,较难,观景|环线,进阶|摄影,全年|避开极端天气,候选待复核,25.921:119.33:25.921:119.33:14,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！ (1).kml,KML,仰望星空3539,61739907,待确认,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,福州周边,边界候选,古道徒步,徒步,福州恒一高级中学(西门),福州恒一高级中学(西门),1856,10.89,3.31,955,951,32.6,598.4,26.150732,119.334922,26.150764,119.334671,"26.138076,119.332352,26.161693,119.364378",是,25,0,0,3.29,55.76,80,较难,古道|历史人文|环线,进阶|摄影,全年|避开极端天气,候选待复核,26.151:119.335:26.151:119.335:11,DUP-001,保留优先,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！.kml,KML,仰望星空3539,61739907,待确认,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,福州周边,边界候选,古道徒步,徒步,福州恒一高级中学(西门),福州恒一高级中学(西门),1856,10.89,3.31,955,951,32.6,598.4,26.150732,119.334922,26.150764,119.334671,"26.138076,119.332352,26.161693,119.364378",是,25,0,0,3.29,55.76,80,较难,古道|历史人文|环线,进阶|摄影,全年|避开极端天气,候选待复核,26.151:119.335:26.151:119.335:11,DUP-001,疑似重复，建议与 2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！ 合并比较,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-2712_19福州白云洞至鼓山.kml,KML,,,待确认,2025-11-2712_19福州白云洞至鼓山,晋安区,优先候选,徒步路线,,,,979,10.72,0.0,1002,996,12.1,844.3,26.074155,119.368066,26.056291,119.371854,"26.053608,119.368066,26.078763,119.395325",否,2022,0,0,0,0.0,95,较难,观景,进阶|摄影,全年|避开极端天气,候选待复核,26.074:119.368:26.056:119.372:11,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-02马尾君山，阳光学院北门～小桂林～旺岐楼水库～夏岐水库～阳光学院北门！.kml,KML,仰望星空3539,61739907,待确认,2025-12-02 马尾君山，阳光学院北门～小桂林～旺岐楼水库～上岐村水库～阳光学院北门！,马尾区,优先候选,徒步路线,徒步,阳光学院(北门),杏会奶茶,1371,7.73,4.22,955,953,91.6,555.7,26.009652,119.447476,26.0099,119.447558,"26.009212,119.442343,26.031121,119.451666",是,29,0,0,1.83,34.79,85,较难,观景|环线,进阶|摄影,全年|避开极端天气,候选待复核,26.01:119.447:26.01:119.448:8,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-05水项古道小圈越.kml,KML,郑在爬,61903114,待确认,2025-12-05 水项古道小圈越,福州周边,边界候选,古道徒步,徒步,竹楼山庄,吴厝里,2243,12.71,6.06,1316,1322,36.6,535.9,26.001172,119.166765,25.999773,119.169183,"25.990695,119.136538,26.004465,119.171525",是,287,0,0,2.1,15.56,95,较难,古道|历史人文|环线,进阶|摄影,全年|避开极端天气,候选待复核,26.001:119.167:26.0:119.169:13,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-06上德古道圈越.kml,两步路,米苏的户外迹忆,54288800,待确认,2025-12-06 13:20福州马尾区,马尾区,优先候选,徒步路线,爬山,快安派出所,马尾区消防大队快安中队,613,5.7,3.84,469,483,-2.0,330.6,26.027328,119.420747,26.026393,119.420161,"26.019939,119.420015,26.036104,119.433522",是,119,0,0,1.49,18.69,85,中等,观景|环线,新手进阶|半日|摄影,全年|避开极端天气,候选待复核,26.027:119.421:26.026:119.42:6,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-09福清南少林南岭古道-猛犸岩圈越.kml,两步路,山痴踏岳。,63019757,待确认,2025-12-09 09:43福州福清市,福清市,优先候选,徒步路线,徒步,南少林寺停车场,南少林寺停车场,1712,16.82,6.27,1092,1078,193.5,776.9,25.732403,119.153788,25.733207,119.153517,"25.732074,119.125769,25.756143,119.157502",是,93,0,0,2.68,21.24,85,较难,观景|环线,进阶|摄影,全年|避开极端天气,候选待复核,25.732:119.154:25.733:119.154:17,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-20罗源小笔架圈越.kml,两步路,第九十九步贤,44965499,待确认,2025-12-20 罗源小笔架圈越,罗源县,优先候选,徒步路线,"徒步,海岸线,山脊线",福州市罗源县,观音堂,8957,8.98,8.54,1230,1215,0.0,434.0,26.44844,119.785234,26.445834,119.786265,"26.445834,119.777842,26.466833,119.801083",否,307,0,0,1.05,28.51,85,较难,观景,进阶|摄影,全年|避开极端天气,候选待复核,26.448:119.785:26.446:119.786:9,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-2109_21福清南岭古道.kml,两步路,燕与希,64089057,待确认,2025-12-21 09:21福清南岭古道,福清市,优先候选,古道徒步,"徒步,爬山",南少林寺停车场,南少林寺停车场,745,8.31,3.24,415,424,206.1,409.8,25.732039,119.153985,25.732074,119.153918,"25.731391,119.138038,25.747174,119.157429",是,8,0,0,2.56,22.86,85,中等,古道|历史人文|环线,新手进阶|半日|摄影,全年|避开极端天气,候选待复核,25.732:119.154:25.732:119.154:8,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-2714_07_12福清灵石山森林公园.kml,KML,zs_5765202,55449867,待确认,2025-12-27 14:07:12,福州周边,边界候选,徒步路线,徒步,三星警务室,三星警务室,2133,11.94,3.98,759,750,61.9,399.4,25.685885,119.227203,25.686292,119.22722,"25.653228,119.21669,25.686292,119.234246",是,45,0,0,3.0,9.34,95,较难,观景|环线,进阶|摄影,全年|避开极端天气,候选待复核,25.686:119.227:25.686:119.227:12,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-12-28长乐风洞山.kml,KML,月胖🕊️,54980324,待确认,2025-12-28 长乐风洞山,长乐区,优先候选,徒步路线,爬山,风洞山隧道,风洞山隧道,11498,4.87,3.66,388,375,293.0,463.0,25.768708,119.564531,25.768154,119.565248,"25.762837,119.564477,25.768708,119.569703",是,95,0,0,1.33,79.05,85,中等,观景|环线,新手进阶|半日|摄影,全年|避开极端天气,候选待复核,25.769:119.565:25.768:119.565:5,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2026-01-03鼓山情人谷圈越.kml,两步路,福州山喵户外-老蔡蔡不是老菜菜,48817450,待确认,2026-01-03鼓山情人谷圈越,晋安区,优先候选,徒步路线,徒步,鼓山旅游索道,鼓山旅游索道,557,5.85,3.5,627,632,16.7,575.9,26.056304,119.372224,26.056341,119.372238,"26.055719,119.372224,26.064043,119.39001",是,4,0,0,1.67,11.57,100,中等,溪谷|避暑|环线,进阶|摄影,春季|夏季|秋季,候选待复核,26.056:119.372:26.056:119.372:6,,,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2026-01-1010_12福州闽侯县五奇仙君殿.kml,两步路,福田83,505817,待确认,2026-01-10 10:12福州闽侯县五奇仙君殿,永泰县,优先候选,徒步路线,爬山,望仙谷景区,望仙谷景区,881,9.6,6.73,906,886,326.9,1126.3,26.264123,118.975225,26.264267,118.975212,"26.260817,118.957643,26.281616,118.977063",是,16,0,0,1.43,34.35,85,较难,观景|环线,进阶|摄影,全年|避开极端天气,候选待复核,26.264:118.975:26.264:118.975:10,,,需人工复核起终点、停车、开放状态和风险点。
